year;month;casos;municipality_code_ibge
2015;4;1132;3170107
2015;5;1251;3170107
2015;6;436;3170107
2015;7;137;3170107
2015;8;92;3170107
2015;9;55;3170107
2015;10;107;3170107
2015;11;371;3170107
2015;12;336;3170107
2016;1;1674;3170107
2016;2;3240;3170107
2016;3;3122;3170107
2016;4;2074;3170107
2016;5;712;3170107
2016;6;131;3170107
2016;7;93;3170107
2016;8;64;3170107
2016;9;64;3170107
2016;10;138;3170107
2016;11;171;3170107
2016;12;211;3170107
2017;1;211;3170107
2017;2;185;3170107
2017;3;283;3170107
2017;4;277;3170107
2017;5;126;3170107
2017;6;90;3170107
2017;7;52;3170107
2017;8;66;3170107
2017;9;114;3170107
2017;10;146;3170107
2017;11;127;3170107
2017;12;118;3170107
2017;12;61;3170107
2018;1;305;3170107
2018;2;389;3170107
2018;3;486;3170107
2018;4;709;3170107
2018;5;436;3170107
2018;6;280;3170107
2018;7;185;3170107
2018;8;80;3170107
2018;9;132;3170107
2018;10;137;3170107
2018;11;144;3170107
2018;12;207;3170107
2018;12;92;3170107
2019;1;642;3170107
2019;2;1305;3170107
2019;3;2523;3170107
2019;4;2973;3170107
2019;5;3052;3170107
2019;6;1754;3170107
2019;7;485;3170107
2019;8;251;3170107
2019;9;311;3170107
2019;10;262;3170107
2019;11;224;3170107
2019;12;286;3170107
2019;12;51;3170107
2020;1;624;3170107
2020;2;810;3170107
2020;3;899;3170107
2020;4;588;3170107
2020;5;593;3170107
2020;6;324;3170107
2020;7;271;3170107
2020;8;280;3170107
2020;9;275;3170107
2020;10;192;3170107
2020;11;239;3170107
2020;12;170;3170107
2021;1;534;3170107
2021;2;411;3170107
2021;3;378;3170107
2021;4;310;3170107
2021;5;267;3170107
2021;6;156;3170107
2021;7;112;3170107
2021;8;154;3170107
2021;9;138;3170107
2021;10;103;3170107
2021;11;99;3170107
2021;12;33;3170107
2022;1;219;3170107
2022;2;236;3170107
2022;3;510;3170107
2022;4;1925;3170107
2022;5;2514;3170107
2022;6;1145;3170107
2022;7;1040;3170107
2022;8;613;3170107
2022;9;539;3170107
2022;10;533;3170107
2022;11;275;3170107
2022;12;414;3170107
2023;1;2278;3170107
2023;2;3633;3170107
2023;3;7454;3170107
2023;4;9548;3170107
2023;5;4625;3170107
2023;6;1857;3170107
2023;7;944;3170107
2023;8;644;3170107
2023;9;597;3170107
2023;10;641;3170107
2023;11;657;3170107
2023;12;341;3170107
2023;12;228;3170107
2024;1;1678;3170107
2024;2;4311;3170107
2024;3;4557;3170107
2024;4;4895;3170107
2024;5;4095;3170107
2024;6;2702;3170107
2024;7;1028;3170107
2024;8;722;3170107
2024;9;851;3170107
2024;10;640;3170107
2024;11;737;3170107
2024;12;1102;3170107
2024;12;394;3170107
2025;1;2793;3170107
2025;2;4541;3170107
2025;3;7797;3170107
2025;4;4039;3170107
2025;5;3593;3170107
2025;6;1560;3170107
2025;7;408;3170107
2025;8;278;3170107
2025;9;318;3170107
2025;10;325;3170107
2025;11;7;3170107
2015;1;422;3170206
2015;2;1157;3170206
2015;3;4182;3170206
2015;4;5826;3170206
2015;5;5998;3170206
2015;6;1229;3170206
2015;7;300;3170206
2015;8;131;3170206
2015;9;73;3170206
2015;10;83;3170206
2015;11;230;3170206
2015;12;255;3170206
2016;1;751;3170206
2016;2;2179;3170206
2016;3;2759;3170206
2016;4;3522;3170206
2016;5;2286;3170206
2016;6;477;3170206
2016;7;223;3170206
2016;8;118;3170206
2016;9;127;3170206
2016;10;123;3170206
2016;11;181;3170206
2016;12;243;3170206
2017;1;414;3170206
2017;2;446;3170206
2017;3;570;3170206
2017;4;765;3170206
2017;5;489;3170206
2017;6;267;3170206
2017;7;198;3170206
2017;8;214;3170206
2017;9;146;3170206
2017;10;107;3170206
2017;11;104;3170206
2017;12;187;3170206
2017;12;120;3170206
2018;1;270;3170206
2018;2;292;3170206
2018;3;323;3170206
2018;4;935;3170206
2018;5;768;3170206
2018;6;332;3170206
2018;7;209;3170206
2018;8;84;3170206
2018;9;146;3170206
2018;10;180;3170206
2018;11;266;3170206
2018;12;532;3170206
2018;12;249;3170206
2019;1;2543;3170206
2019;2;6869;3170206
2019;3;11626;3170206
2019;4;8280;3170206
2019;5;4029;3170206
2019;6;972;3170206
2019;7;270;3170206
2019;8;154;3170206
2019;9;380;3170206
2019;10;181;3170206
2019;11;195;3170206
2019;12;253;3170206
2019;12;64;3170206
2020;1;595;3170206
2020;2;664;3170206
2020;3;799;3170206
2020;4;326;3170206
2020;5;493;3170206
2020;6;454;3170206
2020;7;301;3170206
2020;8;277;3170206
2020;9;253;3170206
2020;10;224;3170206
2020;11;216;3170206
2020;12;224;3170206
2021;1;355;3170206
2021;2;225;3170206
2021;3;184;3170206
2021;4;190;3170206
2021;5;173;3170206
2021;6;135;3170206
2021;7;127;3170206
2021;8;174;3170206
2021;9;153;3170206
2021;10;293;3170206
2021;11;224;3170206
2021;12;112;3170206
2022;1;393;3170206
2022;2;629;3170206
2022;3;1290;3170206
2022;4;2201;3170206
2022;5;2282;3170206
2022;6;1034;3170206
2022;7;420;3170206
2022;8;329;3170206
2022;9;459;3170206
2022;10;467;3170206
2022;11;535;3170206
2022;12;506;3170206
2023;1;1757;3170206
2023;2;4260;3170206
2023;3;8743;3170206
2023;4;10851;3170206
2023;5;6125;3170206
2023;6;1807;3170206
2023;7;1007;3170206
2023;8;568;3170206
2023;9;502;3170206
2023;10;683;3170206
2023;11;535;3170206
2023;12;393;3170206
2023;12;366;3170206
2024;1;4558;3170206
2024;2;9306;3170206
2024;3;8425;3170206
2024;4;3311;3170206
2024;5;2829;3170206
2024;6;1151;3170206
2024;7;426;3170206
2024;8;239;3170206
2024;9;514;3170206
2024;10;373;3170206
2024;11;597;3170206
2024;12;1114;3170206
2024;12;358;3170206
2025;1;3771;3170206
2025;2;5935;3170206
2025;3;7380;3170206
2025;4;4884;3170206
2025;5;3946;3170206
2025;6;1773;3170206
2025;7;529;3170206
2025;8;700;3170206
2025;9;863;3170206
2025;10;684;3170206
2025;11;8;3170206
